Year,Month,Day,P7,P8,P9,P16,P17,P18,P20,P31,P32,P33,P34,P35,P36,P37,P38,P50,P51,P52,P80,sp_avrg,Satkhira,Khulna,Jessore,Chuadanga,Ishurdi,Rajshahi,obs,Bias_corrected,RMSE,MAE,PBIAS,,,,,
1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,month,obs,sim,scaling_factor
1990,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0.235020927,0.414154839,0.56747116
1990,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,0.645969691,0.041075742,15.72630615
1990,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,3,1.683508945,0.362770119,4.640704562
1990,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,4.086658528,0.62746807,6.512934637
1990,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,5,8.581084491,1.743152462,4.922738934
1990,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,6,6,10.61840489,6.811499649,1.558893847
1990,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7,7,11.04483835,10.79596537,1.023052407
1990,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8,8,9.305142537,14.19726723,0.655417862
1990,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,9,9,9.788223615,12.67330667,0.772349622
1990,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,10,10,5.561539712,2.678366044,2.076467376
1990,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,11,11,0.587165341,1.064556491,0.55155865
1990,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,12,12,0.081121024,0.028621392,2.834279473
1990,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387854,0.387854,0.387854,0.387854,0.387854,0.387854,0.387854,,,,,,,,,
1990,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387854,0.387854,0.387854,0.387854,0.387854,0.387854,0.387854,,,,,,,,,
