Year,Month,Day,P136,sp_avrg,Chandpur,Mcourt,obs,Bias_corrected,RMSE,MAE,PBIAS,,,,,
1990,1,1,0,0,0,0,0,,,,,,month,obs,sim,scaling_factor
1990,1,2,0,0,0,0,0,,,,,1,1,0.279719864,0.39483871,0.708440833
1990,1,3,0,0,0,0,0,,,,,2,2,0.731312404,0.087507082,8.357179627
1990,1,4,0,0,0,0,0,,,,,3,3,1.51605461,1.089458065,1.391567661
1990,1,5,0,0,0,0,0,,,,,4,4,4.922941678,1.599133333,3.078506073
1990,1,6,0,0,0,0,0,,,,,5,5,9.276707507,4.925367742,1.883454798
1990,1,7,0,0,0,0,0,,,,,6,6,15.59105602,14.26858667,1.092683977
1990,1,8,0,0,0,0,0,,,,,7,7,15.83027681,15.71051613,1.007622963
1990,1,9,0,0,0,0,0,,,,,8,8,12.52926249,19.81390968,0.632346805
1990,1,10,0,0,0,0,0,,,,,9,9,10.51367158,20.50936,0.51262797
1990,1,11,0,0,0,0,0,,,,,10,10,4.8167294,5.037819355,0.956113957
1990,1,12,0,0,0,0,0,,,,,11,11,0.41659955,1.7592,0.236811932
1990,1,13,0,0,0,0,0,,,,,12,12,0.059300562,0.320387097,0.185090358
1990,1,14,0,0,0.387854,0,0.193927,,,,,,,,,
1990,1,15,0,0,0.387854,0,0.193927,,,,,,,,,
1990,1,16,0,0,0,0,0,,,,,,,,,
1990,1,17,0,0,0,0,0,,,,,,,,,
1990,1,18,0,0,0,0,0,,,,,,,,,
1990,1,19,0,0,0,0,0,,,,,,,,,
1990,1,20,0,0,0,0,0,,,,,,,,,
1990,1,21,0,0,0,0,0,,,,,,,,,
1990,1,22,0,0,0,0,0,,,,,,,,,
1990,1,23,0,0,0,3.38726,1.69363,,,,,,,,,
1990,1,24,0,0,0,0,0,,,,,,,,,
1990,1,25,0,0,0,0,0,,,,,,,,,
1990,1,26,0,0,0,0,0,,,,,,,,,
1990,1,27,0,0,0,0,0,,,,,,,,,
1990,1,28,0,0,0,5.33796,2.66898,,,,,,,,,
1990,1,29,0,0,0,0,0,,,,,,,,,
1990,1,30,0,0,1.96913,0,0.984565,,,,,,,,,
1990,1,31,0,0,1.96913,0,0.984565,,,,,,,,,
1990,2,1,0,0,0,0,0,,,,,,,,,
1990,2,2,0,0,0,0,0,,,,,,,,,
1990,2,3,0,0,0,0,0,,,,,,,,,
1990,2,4,0,0,0,0,0,,,,,,,,,
1990,2,5,0,0,0,27.8738,13.9369,,,,,,,,,
1990,2,6,0,0,0,0,0,,,,,,,,,
1990,2,7,0,0,0,0,0,,,,,,,,,
1990,2,8,0,0,0,0,0,,,,,,,,,
1990,2,9,0,0,0,0,0,,,,,,,,,
1990,2,10,0,0,0,0,0,,,,,,,,,
1990,2,11,0,0,0.14465,0,0.072325,,,,,,,,,
1990,2,12,0,0,0,0,0,,,,,,,,,
1990,2,13,0,0,0,0,0,,,,,,,,,
1990,2,14,0,0,1.29575,0,0.647875,,,,,,,,,
1990,2,15,0,0,0,0,0,,,,,,,,,
1990,2,16,0,0,0,0,0,,,,,,,,,
1990,2,17,0,0,0,0,0,,,,,,,,,
1990,2,18,0,0,36.6695,1.23112,18.95031,,,,,,,,,
1990,2,19,0,0,0.251566,0,0.125783,,,,,,,,,
1990,2,20,0,0,0.686627,0,0.3433135,,,,,,,,,
1990,2,21,0,0,0.806893,0,0.4034465,,,,,,,,,
1990,2,22,0,0,0,9.43001,4.715005,,,,,,,,,
1990,2,23,0,0,0,0,0,,,,,,,,,
1990,2,24,0,0,0,0,0,,,,,,,,,
1990,2,25,0,0,1.12032,0,0.56016,,,,,,,,,
1990,2,26,0,0,0,0,0,,,,,,,,,
1990,2,27,0,0,0,0,0,,,,,,,,,
1990,2,28,0,0,0,0,0,,,,,,,,,
1990,3,1,0,0,0,0,0,,,,,,,,,
1990,3,2,0,0,0,0,0,,,,,,,,,
1990,3,3,0,0,0,0,0,,,,,,,,,
1990,3,4,0,0,0,0,0,,,,,,,,,
1990,3,5,0,0,0,0,0,,,,,,,,,
1990,3,6,0,0,0,0,0,,,,,,,,,
1990,3,7,0,0,0,0,0,,,,,,,,,
1990,3,8,0,0,0,0,0,,,,,,,,,
1990,3,9,0,0,0,0,0,,,,,,,,,
1990,3,10,0,0,0,0,0,,,,,,,,,
1990,3,11,0,0,0,0,0,,,,,,,,,
1990,3,12,0,0,0,0,0,,,,,,,,,
1990,3,13,0,0,0,0,0,,,,,,,,,
1990,3,14,0,0,0,0,0,,,,,,,,,
1990,3,15,0,0,0,0,0,,,,,,,,,
1990,3,16,0,0,0,0,0,,,,,,,,,
1990,3,17,0,0,0,0,0,,,,,,,,,
1990,3,18,0,0,0,0,0,,,,,,,,,
1990,3,19,0,0,0,0.923219,0.4616095,,,,,,,,,
1990,3,20,0,0,0,12.6457,6.32285,,,,,,,,,
1990,3,21,0,0,0.236813,0,0.1184065,,,,,,,,,
1990,3,22,0,0,0,0,0,,,,,,,,,
1990,3,23,0,0,15.9296,0,7.9648,,,,,,,,,
1990,3,24,0,0,32.3407,39.7991,36.0699,,,,,,,,,
1990,3,25,0,0,34.8343,2.27424,18.55427,,,,,,,,,
1990,3,26,0,0,0,0,0,,,,,,,,,
1990,3,27,0,0,8.38834,2.70265,5.545495,,,,,,,,,
1990,3,28,0,0,0,0,0,,,,,,,,,
