Year,Month,Day,P154,P161,P163,P169,P170,P171,P173,P174,P175,P176,P177,P178,P182,P183,P184,P185,P186,P187,sp_avrg,Teknaf,Rangamati,obs,Bias_corrected,RMSE,MAE,PBIAS,,,,,
1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,,month,obs,sim,scaling_factor
1990,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,1,1,-499499999.9,0.372091756,-1342410821
1990,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,2,2,-499499999.7,0.116521089,-4286777644
1990,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,3,3,-499499999.2,1.120724014,-445694027.1
1990,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,4,4,-499499998,1.790292593,-279004672.2
1990,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,5,5,-499499995.7,5.010216487,-99696289.96
1990,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,6,6,-499499994.7,14.10245037,-35419376.18
1990,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,7,7,-499499994.5,17.11046237,-29192664.92
1990,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,8,8,-499499995.3,22.08157061,-22620673.33
1990,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,9,9,-499499995.1,20.48934222,-24378527.61
1990,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,10,10,-499499997.2,4.930154122,-101315290.5
1990,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,11,11,-499499999.7,1.613452593,-309584553
1990,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,12,12,-499500000,0.526610036,-948519712.8
1990,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0.387854,-499499999.8,,,,,,,,,
1990,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0.387854,-499499999.8,,,,,,,,,
1990,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,,,,,
1990,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,,,,,
1990,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,,,,,
1990,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,0,-499500000,,,,,,,,,
