Year,Month,Day,P103,P115,P123,P133,P145,P152,P164,P167,P181,sp_avrg,Comilla,Srimangal,obs,Bias_corrected,RMSE,MAE,PBIAS,,,,,
1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,month,obs,sim,scaling_factor
1990,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0.235020927,0.813012186,0.289074298
1990,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,0.645969691,0.175355681,3.683768242
1990,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,3,1.683508945,2.832681004,0.59431646
1990,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,4.086658528,4.285385185,0.953626886
1990,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,5,8.581084491,14.28404588,0.600746075
1990,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,6,6,10.61840489,24.56606074,0.432238811
1990,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7,7,11.04483835,22.00612186,0.501898445
1990,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8,8,9.305142537,25.13807168,0.370161349
1990,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,9,9,9.788223615,18.4608963,0.530213889
1990,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,10,10,5.561539712,4.157558423,1.337693701
1990,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,11,11,0.587165341,2.533758519,0.231736899
1990,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,12,12,0.081121024,0.091797849,0.883691991
1990,1,14,0,0,0,0,0,0,0,0,0,0,0.387854,0.387854,0.387854,,,,,,,,,
1990,1,15,0,0,0,0,0,0,0,0,0,0,0.387854,0.387854,0.387854,,,,,,,,,
1990,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,30,0,0,0,0,0,0,0,0,0,0,1.96913,1.96913,1.96913,,,,,,,,,
1990,1,31,0,0,0,0,0,0,0,0,0,0,1.96913,1.96913,1.96913,,,,,,,,,
1990,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,3,0,0,0,0,0,0,0,26.49,39.27,7.306666667,0,0,0,,,,,,,,,
1990,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,11,0,0,0,0,0,0,0,0,0,0,0.14465,0.14465,0.14465,,,,,,,,,
1990,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,14,0,0,0,0,0,0,0,0,0,0,1.29575,1.29575,1.29575,,,,,,,,,
1990,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,18,0,0,0,0,0,0,0,0,0.4,0.044444444,36.6695,36.6695,36.6695,,,,,,,,,
1990,2,19,0,0,0,0,0,0,3.48,23.78,39.07,7.37,0.251566,0.251566,0.251566,,,,,,,,,
1990,2,20,0,0,0,0,0,0,0,0,0,0,0.686627,0.686627,0.686627,,,,,,,,,
1990,2,21,0,0,0,0,0,0,0,0,0,0,0.806893,0.806893,0.806893,,,,,,,,,
1990,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,25,0,0,0,0,0,0,0,0,0,0,1.12032,1.12032,1.12032,,,,,,,,,
1990,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,21,0,0,0,0,0,0,0,0,0,0,0.236813,0.236813,0.236813,,,,,,,,,
1990,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,23,0,0,0,0,0,0,0,0,0,0,15.9296,15.9296,15.9296,,,,,,,,,
1990,3,24,0,0,0,0,0,0,0,0,0,0,32.3407,32.3407,32.3407,,,,,,,,,
1990,3,25,0,0,0,0,0,0,0,0,0,0,34.8343,34.8343,34.8343,,,,,,,,,
1990,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,27,0,0,0,0,0,0,0,0,0,0,8.38834,8.38834,8.38834,,,,,,,,,
1990,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,31,0,0,0,0,0,0,0,0,0,0,22.6789,22.6789,22.6789,,,,,,,,,
1990,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,3,0,0,0,0,0,0,0,0,0,0,16.5326,16.5326,16.5326,,,,,,,,,
1990,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,6,0,0,0,0,0,0,0,0,0,0,4.717,4.717,4.717,,,,,,,,,
1990,4,7,0,0,0,0,0,0,0,0,0,0,7.23147,7.23147,7.23147,,,,,,,,,
1990,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
