Year,Month,Day,P22,P23,P26,P27,P42,P43,P44,P45,P57,P58,P59,P60,P61,P76,P78,sp_avrg,Bogra,Dinajpur,Rangpur,Sayedpur,obs,Bias_corrected,RMSE,MAE,PBIAS,,,,,
1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,month,obs,sim,scaling_factor
1990,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0.302069333,0.569779785,0.530151018
1990,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,0.773983761,0.299050047,2.588141243
1990,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,3,1.432327443,0.792462796,1.807438091
1990,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,5.341083252,1.190362667,4.486937806
1990,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,5,9.624519016,4.885313548,1.970092384
1990,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,6,6,18.07738159,13.52320444,1.336767603
1990,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7,7,18.22299603,14.43820387,1.262137327
1990,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8,8,14.14132246,16.54060301,0.854946005
1990,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,9,9,10.87639557,13.02804978,0.83484449
1990,1,11,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,,,,,10,10,4.444324244,3.234806021,1.373907497
1990,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,11,11,0.331316655,1.082375111,0.306101509
1990,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,12,12,0.048390331,0.086537634,0.559182506
1990,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387854,0,0,0,0.0969635,,,,,,,,,
1990,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387854,0,0,0,0.0969635,,,,,,,,,
1990,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38726,3.38726,3.38726,2.540445,,,,,,,,,
1990,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33796,5.33796,5.33796,4.00347,,,,,,,,,
1990,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96913,0,0,0,0.4922825,,,,,,,,,
1990,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96913,0,0,0,0.4922825,,,,,,,,,
1990,2,1,0,0,28.27,26.47,23.83,28.27,27.47,26.04,0,0,23.41,27.65,26.6,26.44,23.75,19.21333333,0,0,0,0,0,,,,,,,,,
1990,2,2,0,15.96,26.47,21.97,27.13,29.59,25.72,20.5,0,15.93,27.05,29.54,24.97,28.92,16.71,20.69733333,0,0,0,0,0,,,,,,,,,
1990,2,3,0,0,0,0,0,1.47,0,5.02,0,0,0,12.86,14.86,12.86,20.99,4.537333333,0,0,0,0,0,,,,,,,,,
1990,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8738,27.8738,27.8738,20.90535,,,,,,,,,
1990,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14465,0,0,0,0.0361625,,,,,,,,,
1990,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29575,0,0,0,0.3239375,,,,,,,,,
1990,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6695,1.23112,1.23112,1.23112,10.090715,,,,,,,,,
1990,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251566,0,0,0,0.0628915,,,,,,,,,
1990,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686627,0,0,0,0.17165675,,,,,,,,,
1990,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806893,0,0,0,0.20172325,,,,,,,,,
1990,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43001,9.43001,9.43001,7.0725075,,,,,,,,,
1990,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12032,0,0,0,0.28008,,,,,,,,,
1990,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923219,0.923219,0.923219,0.69241425,,,,,,,,,
1990,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6457,12.6457,12.6457,9.484275,,,,,,,,,
1990,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236813,0,0,0,0.05920325,,,,,,,,,
1990,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9296,0,0,0,3.9824,,,,,,,,,
1990,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3407,39.7991,39.7991,39.7991,37.9345,,,,,,,,,
1990,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8343,2.27424,2.27424,2.27424,10.414255,,,,,,,,,
1990,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38834,2.70265,2.70265,2.70265,4.1240725,,,,,,,,,
1990,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6789,0,0,0,5.669725,,,,,,,,,
1990,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5326,0,0,0,4.13315,,,,,,,,,
1990,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01293,2.01293,2.01293,1.5096975,,,,,,,,,
1990,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96056,1.96056,1.96056,1.47042,,,,,,,,,
1990,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.717,1.39819,1.39819,1.39819,2.2278925,,,,,,,,,
1990,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23147,0,0,0,1.8078675,,,,,,,,,
1990,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60682,42.7916,42.7916,42.7916,33.495405,,,,,,,,,
1990,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3025,0,0,0,4.325625,,,,,,,,,
1990,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9376,37.9376,37.9376,28.4532,,,,,,,,,
1990,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814485,0.814485,0.814485,0.61086375,,,,,,,,,
1990,4,19,0,0,24.09,33.35,0,0,25.15,35.2,0,0,0,0,26.22,0,34.76,11.918,21.0396,0,0,0,5.2599,,,,,,,,,
1990,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7482,0,0,0,3.68705,,,,,,,,,
1990,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452345,1.19545,1.19545,1.19545,1.00967375,,,,,,,,,
1990,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5588,0,0,0,3.3897,,,,,,,,,
1990,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1765,6.21603,6.21603,6.21603,9.2061475,,,,,,,,,
1990,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.432,0,0,0,3.108,,,,,,,,,
1990,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6005,25.1183,25.1183,25.1183,24.23885,,,,,,,,,
1990,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27489,5.27489,5.27489,3.9561675,,,,,,,,,
1990,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7693,32.7693,32.7693,24.576975,,,,,,,,,
1990,5,1,0,0,0,0,0,0,0,18.97,0,0,0,0,16.63,0,30.52,4.408,0,0.965788,0.965788,0.965788,0.724341,,,,,,,,,
1990,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.008666667,6.43475,0,0,0,1.6086875,,,,,,,,,
1990,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40297,43.9311,43.9311,43.9311,33.7990675,,,,,,,,,
1990,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0493,38.1154,38.1154,38.1154,31.598875,,,,,,,,,
1990,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9583,13.9583,13.9583,10.468725,,,,,,,,,
1990,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,5,8,0,0,0,15.35,0,0,12.47,23.24,0,0,0,0,20.15,0,29.55,6.717333333,0,0,0,0,0,,,,,,,,,
1990,5,9,0,0,0,0,0,0,0,18.71,0,0,0,0,17.21,0,31.3,4.481333333,0.0475288,0,0,0,0.0118822,,,,,,,,,
1990,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.02,0,0,0,0,0,,,,,,,,,
1990,5,11,0,0,2.39,0,20.99,23.96,21.21,19.44,0,17.28,25.76,28.68,27.8,31.91,28.93,16.55666667,0,0,0,0,0,,,,,,,,,
1990,5,12,0,0,0,0,0,12.69,0.7,0.18,0,0,15.44,19.01,13.85,21.39,11.77,6.335333333,0,41.892,41.892,41.892,31.419,,,,,,,,,
1990,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9668,15.3982,15.3982,15.3982,16.54035,,,,,,,,,
1990,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,5,16,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716,0,0,0,0,0,,,,,,,,,
1990,5,17,2.8,16.07,16.78,12.89,0,0,0,0,0,0,0,0,0,0,0,3.236,0,0,0,0,0,,,,,,,,,
1990,5,18,15.85,15.53,7.12,6.49,0,0,0,0,0,0,0,0,0,0,0,2.999333333,0,0,0,0,0,,,,,,,,,
1990,5,19,0,0,0,11.73,0,0,0,13.01,0,0,0,0,0,0,12.19,2.462,27.6039,0.682033,0.682033,0.682033,7.41249975,,,,,,,,,
1990,5,20,0,0,23.94,27.49,0,12.28,21.93,27.27,0,0,0,0,19.15,0,26.01,10.538,44.0047,0,0,0,11.001175,,,,,,,,,
1990,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2787,0,0,0,2.819675,,,,,,,,,
1990,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20229,0,0,0,0.3005725,,,,,,,,,
1990,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0.543333333,46.9945,0,0,0,11.748625,,,,,,,,,
1990,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,1.126666667,3.17365,0,0,0,0.7934125,,,,,,,,,
1990,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40382,41.5074,41.5074,41.5074,33.481505,,,,,,,,,
1990,5,28,0,0,0,14.07,0,0,0,0.53,12.79,0,0,0,0,0,0,1.826,5.07133,3.56446,3.56446,3.56446,3.9411775,,,,,,,,,
1990,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7483,0,0,0,6.687075,,,,,,,,,
1990,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1990,5,31,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,5.03,0.652666667,29.2815,63.8163,63.8163,63.8163,55.1826,,,,,,,,,
1990,6,1,0,0,12.58,25.19,0,0,0,17.89,0,0,0,0,0,0,0,3.710666667,0,3.82469,3.82469,3.82469,2.8685175,,,,,,,,,
1990,6,2,23.35,19.24,22.24,27.38,17.56,15.95,22.37,26.67,31.87,27.2,22,19.6,22.58,21.27,24.08,22.89066667,3.30102,11.2525,11.2525,11.2525,9.26463,,,,,,,,,
1990,6,3,16.05,14.4,17.3,20.64,20.98,20.93,21.35,23.05,28.85,27.21,25.08,24.41,24.46,26.67,26.7,22.53866667,29.8566,41.2542,41.2542,41.2542,38.4048,,,,,,,,,
1990,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8383,37.8805,37.8805,37.8805,32.61995,,,,,,,,,
