Year,Month,Day,P116,P124,P134,P135,P146,sp_avrg,Bhola,Hatiya,Sandwip,obs,Bias_corrected,RMSE,MAE,PBIAS,,,,,
1990,1,1,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,month,obs,sim,scaling_factor
1990,1,2,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,1,1,-665999999.9,0.366689032,-1816252850
1990,1,3,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,2,2,-665999999.8,0.141121813,-4719327122
1990,1,4,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,3,3,-665999999.4,1.211171613,-549880786.8
1990,1,5,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,4,4,-665999998.6,1.751181333,-380314697.3
1990,1,6,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,5,5,-665999997.1,4.901089032,-135888165.4
1990,1,7,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,6,6,-665999996.5,14.05366933,-47389758.55
1990,1,8,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,7,7,-665999996.3,15.72694452,-42347704.33
1990,1,9,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,8,8,-665999996.9,18.94211871,-35159741.48
1990,1,10,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,9,9,-665999996.7,20.76228,-32077401.75
1990,1,11,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,10,10,-665999998.1,6.159432258,-108126848.4
1990,1,12,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,11,11,-665999999.8,1.85192,-359626765.6
1990,1,13,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,12,12,-666000000,0.394149677,-1689713421
1990,1,14,0,0,0,0,0,0,0.387854,-9.99E+08,-9.99E+08,-665999999.9,,,,,,,,,
1990,1,15,0,0,0,0,0,0,0.387854,-9.99E+08,-9.99E+08,-665999999.9,,,,,,,,,
1990,1,16,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,17,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,18,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,19,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,20,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,21,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,22,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,23,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,24,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,25,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,26,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,27,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,28,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,29,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,1,30,0,0,0,0,0,0,1.96913,-9.99E+08,-9.99E+08,-665999999.3,,,,,,,,,
1990,1,31,0,0,0,0,0,0,1.96913,-9.99E+08,-9.99E+08,-665999999.3,,,,,,,,,
1990,2,1,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,2,2,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,2,3,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,2,4,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,2,5,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,2,6,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,2,7,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,2,8,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,2,9,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
1990,2,10,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-666000000,,,,,,,,,
