Year,Month,Day,P160,P172,sp_avrg,Sitakundu,Kutubdia,Chittagong,CoxsBazar,obs,Bias_corrected,RMSE,MAE,PBIAS,,,,,,
1990,1,1,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,0.00E+00,,,,,,month,obs,sim,scaling_factor
1990,1,2,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,0.00E+00,,,,,1,1,-749249999.9,0.348787097,-2148158596
1990,1,3,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,0.00E+00,,,,,2,2,-749249999.8,0.175835694,-4261080231
1990,1,4,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,3,3,-749249999.6,1.135374194,-659914593.7
1990,1,5,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,4,4,-749249999,1.67602,-447041204.1
1990,1,6,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,5,5,-749249997.9,5.036812903,-148754780.5
1990,1,7,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,6,6,-749249997.3,14.33878,-52253399.34
1990,1,8,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,7,7,-749249997.2,16.66681935,-44954587.99
1990,1,9,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,8,8,-749249997.7,22.06181935,-33961387.57
1990,1,10,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,9,9,-749249997.6,20.82122667,-35984911.43
1990,1,11,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,10,10,-749249998.6,4.939458065,-151686680.8
1990,1,12,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,11,11,-749249999.9,1.59356,-470173699
1990,1,13,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,12,12,-749250000,0.563522581,-1329582923
1990,1,14,0,0,0,0.387854,-9.99E+08,-9.99E+08,-9.99E+08,-749249999.9,,,,,,,,,,
1990,1,15,0,0,0,0.387854,-9.99E+08,-9.99E+08,-9.99E+08,-749249999.9,,,,,,,,,,
1990,1,16,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,17,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,18,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,19,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,20,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,21,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,22,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,23,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,24,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,25,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,26,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,27,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,28,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,29,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,1,30,0,0,0,1.96913,-9.99E+08,-9.99E+08,-9.99E+08,-749249999.5,,,,,,,,,,
1990,1,31,0,0,0,1.96913,-9.99E+08,-9.99E+08,-9.99E+08,-749249999.5,,,,,,,,,,
1990,2,1,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,2,2,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
1990,2,3,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-749250000,,,,,,,,,,
