Year,Month,Day,P165,P166,P179,P180,sp_avrg,Sylhet,obs,Bias_corrected,RMSE,MAE,PBIAS,,,,,,
1990,1,1,0,0,0,0,0,0,0,,,,,,,month,obs,sim,scaling_factor
1990,1,2,0,0,0,0,0,0,0,,,,,,1,1,0.235020927,0.895045161,0.262579965
1990,1,3,0,0,0,0,0,0,0,,,,,,2,2,0.645969691,0.217570822,2.969008831
1990,1,4,0,0,0,0,0,0,0,,,,,,3,3,1.683508945,3.685883871,0.456744977
1990,1,5,0,0,0,0,0,0,0,,,,,,4,4,4.086658528,5.425146667,0.753280746
1990,1,6,0,0,0,0,0,0,0,,,,,,5,5,8.581084491,15.32516129,0.559934367
1990,1,7,0,0,0,0,0,0,0,,,,,,6,6,10.61840489,22.79931333,0.465733539
1990,1,8,0,0,0,0,0,0,0,,,,,,7,7,11.04483835,22.1781,0.498006518
1990,1,9,0,0,0,0,0,0,0,,,,,,8,8,9.305142537,27.80263548,0.334685629
1990,1,10,0,0,0,0,0,0,0,,,,,,9,9,9.788223615,18.69219333,0.523653027
1990,1,11,0,0,0,0,0,0,0,,,,,,10,10,5.561539712,3.687390323,1.508259019
1990,1,12,0,0,0,0,0,0,0,,,,,,11,11,0.587165341,2.84199,0.206603592
1990,1,13,0,0,0,0,0,0,0,,,,,,12,12,0.081121024,0.212054839,0.382547387
1990,1,14,0,0,0,0,0,0.387854,0.387854,,,,,,,,,,
1990,1,15,0,0,0,0,0,0.387854,0.387854,,,,,,,,,,
1990,1,16,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,17,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,18,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,19,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,20,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,21,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,22,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,23,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,24,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,25,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,26,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,27,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,28,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,29,0,0,0,0,0,0,0,,,,,,,,,,
1990,1,30,0,0,0,0,0,1.96913,1.96913,,,,,,,,,,
1990,1,31,0,0,0,0,0,1.96913,1.96913,,,,,,,,,,
1990,2,1,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,2,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,3,0,11.69,6.56,22.67,10.23,0,0,,,,,,,,,,
1990,2,4,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,5,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,6,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,7,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,8,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,9,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,10,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,11,0,0,0,0,0,0.14465,0.14465,,,,,,,,,,
1990,2,12,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,13,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,14,0,0,0,0,0,1.29575,1.29575,,,,,,,,,,
1990,2,15,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,16,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,17,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,18,0,0,0,0,0,36.6695,36.6695,,,,,,,,,,
1990,2,19,9.22,17.43,16.71,26.36,17.43,0.251566,0.251566,,,,,,,,,,
1990,2,20,0,0,0,0,0,0.686627,0.686627,,,,,,,,,,
1990,2,21,0,0,0,0,0,0.806893,0.806893,,,,,,,,,,
1990,2,22,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,23,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,24,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,25,0,0,0,0,0,1.12032,1.12032,,,,,,,,,,
1990,2,26,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,27,0,0,0,0,0,0,0,,,,,,,,,,
1990,2,28,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,1,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,2,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,3,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,4,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,5,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,6,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,7,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,8,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,9,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,10,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,11,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,12,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,13,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,14,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,15,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,16,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,17,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,18,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,19,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,20,0,0,0,0,0,0,0,,,,,,,,,,
1990,3,21,0,0,0,0,0,0.236813,0.236813,,,,,,,,,,
1990,3,22,0,0,0,0,0,0,0,,,,,,,,,,
