Year,Month,Day,P28,P30,P46,P48,P62,P64,P91,P92,P93,P104,P105,P107,sp_avrg,Barisal,Mongla,Khepupara,Patuakhali,obs,Bias_corrected,RMSE,MAE,PBIAS,,,,,
1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,month,obs,sim,scaling_factor
1990,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,1,1,-9.99E+08,0.356158065,-2.80E+09
1990,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,2,2,-9.99E+08,0.177122285,-5.64E+09
1990,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,3,3,-9.99E+08,1.059483871,-9.43E+08
1990,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,4,4,-9.99E+08,1.775785556,-5.63E+08
1990,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,5,5,-9.99E+08,3.554241935,-2.81E+08
1990,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,6,6,-9.99E+08,12.61509333,-7.92E+07
1990,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,7,7,-9.99E+08,14.29001828,-6.99E+07
1990,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,8,8,-9.99E+08,14.56474946,-6.86E+07
1990,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,9,9,-9.99E+08,15.79953222,-6.32E+07
1990,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,10,10,-9.99E+08,5.391039785,-1.85E+08
1990,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,11,11,-9.99E+08,1.645732222,-6.07E+08
1990,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,12,12,-9.99E+08,0.271596774,-3.68E+09
1990,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387854,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387854,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
