,month,obs,sim,scaling_factor
1,1,0.235020927,0.895045161,0.262579965
2,2,0.645969691,0.217570822,2.969008831
3,3,1.683508945,3.685883871,0.456744977
4,4,4.086658528,5.425146667,0.753280746
5,5,8.581084491,15.32516129,0.559934367
6,6,10.61840489,22.79931333,0.465733539
7,7,11.04483835,22.1781,0.498006518
8,8,9.305142537,27.80263548,0.334685629
9,9,9.788223615,18.69219333,0.523653027
10,10,5.561539712,3.687390323,1.508259019
11,11,0.587165341,2.84199,0.206603592
12,12,0.081121024,0.212054839,0.382547387
